timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy
868352,586.5757159184665,1.0,3.3830566,100.0,12.873842,-1.0,1.0483398,2.0,0.33381552,1.0055901,0.02776873,0.020720422,0.007048308,0.90006286
876544,585.2092410284193,1.0,3.1708984,100.0,12.20731,-1.0,1.0551758,2.0,0.33054549,1.0133321,0.02851909,0.01998429,0.008534802,0.8984002
884736,591.795427095088,1.0,3.2387695,100.0,12.395898,-1.0,1.055542,2.0,0.32620874,1.0120795,0.021847066,0.01739204,0.0044550253,0.9498753
892928,592.680065466462,1.0,3.317871,100.0,12.686624,-1.0,1.0559082,2.0,0.33005273,1.0130658,0.02495453,0.019438814,0.0055157156,0.9356464
901120,592.1342664677568,1.0,3.488037,100.0,13.26353,-1.0,1.0505371,2.0,0.3268348,1.0067464,0.023655076,0.017416667,0.0062384065,0.96052754
909312,588.449080767375,1.0,3.3897705,100.0,12.774211,-1.0,1.0523682,2.0,0.32635948,1.006151,0.028673602,0.021523003,0.0071506025,0.86401236
917504,608.8274264456094,1.0,3.2911377,100.0,12.454107,-1.0,1.0557861,2.0,0.33025825,1.0111318,0.02736328,0.020136265,0.0072270134,0.9639703
925696,591.7121636626312,1.0,3.3529053,100.0,12.767579,-1.0,1.0560303,2.0,0.33352736,1.0120672,0.02533556,0.018087493,0.0072480664,0.94281554
933888,587.1872036784038,1.0,3.25354,100.0,12.496553,-1.0,1.0605469,2.0,0.33729175,1.0191878,0.026110537,0.020630794,0.0054797446,0.89140034
942080,588.9991093806245,1.0,3.2347412,100.0,12.53676,-1.0,1.0529785,2.0,0.33164173,1.0124985,0.02602065,0.019941159,0.0060794926,0.9018687
950272,587.7768808657,1.0,3.2523193,100.0,12.52471,-1.0,1.0505371,2.0,0.3268348,1.0087624,0.022455916,0.017673912,0.004782005,0.9378301
958464,581.0846732896731,1.0,3.05896,100.0,11.79045,-1.0,1.0539551,2.0,0.3221464,1.011137,0.027287303,0.02118341,0.006103892,0.8827214
966656,584.4268776225633,1.0,3.1757812,100.0,12.115519,-1.0,1.0552979,2.0,0.32662418,1.0117818,0.022820996,0.018785482,0.0040355125,0.8856925
974848,596.2228572379481,1.0,3.0598145,100.0,11.726033,-1.0,1.0565186,2.0,0.3308724,1.0150461,0.027338233,0.021455111,0.0058831237,0.8882991
983040,590.2578635323392,1.0,3.2166748,100.0,12.160119,-1.0,1.055542,2.0,0.33324286,1.0112033,0.025189862,0.019250672,0.0059391884,0.94368684
991232,597.4290250826471,1.0,3.279541,100.0,12.390566,-1.0,1.0551758,2.0,0.33676508,1.0106188,0.025722977,0.019149566,0.0065734107,0.9190415
999424,599.6245959854548,1.0,3.3360596,100.0,12.599515,-1.0,1.0559082,2.0,0.33152884,1.0100873,0.024337512,0.019386834,0.0049506775,1.0011246
